old_id,new_id
BBEAR_00000001,PB.1.1
BBEAR_00000002,PB.1.2
BBEAR_00000038,PB.1.3
BBEAR_00000039,PB.1.4
BBEAR_00000003,PB.1.5
BBEAR_00000040,PB.1.6
BBEAR_00000004,PB.1.7
BBEAR_00000041,PB.1.8
BBEAR_00000042,PB.1.9
BBEAR_00000043,PB.1.10
BBEAR_00000044,PB.1.11
BBEAR_00000045,PB.1.12
BBEAR_00000005,PB.1.13
BBEAR_00000006,PB.1.14
BBEAR_00000046,PB.1.15
BBEAR_00000007,PB.1.16
BBEAR_00000009,PB.1.17
BBEAR_00000008,PB.1.18
BBEAR_00000010,PB.1.19
BBEAR_00000047,PB.2.1
BBEAR_00000048,PB.2.2
BBEAR_00000011,PB.2.3
BBEAR_00000049,PB.2.4
BBEAR_00000050,PB.2.5
BBEAR_00000012,PB.2.6
BBEAR_00000013,PB.2.7
BBEAR_00000014,PB.2.8
BBEAR_00000051,PB.2.9
BBEAR_00000016,PB.2.10
BBEAR_00000052,PB.2.11
BBEAR_00000053,PB.2.12
BBEAR_00000015,PB.2.13
BBEAR_00000017,PB.2.14
BBEAR_00000018,PB.2.15
BBEAR_00000019,PB.2.16
BBEAR_00000054,PB.2.17
BBEAR_00000020,PB.2.18
BBEAR_00000021,PB.2.19
BBEAR_00000055,PB.2.20
BBEAR_00000056,PB.2.21
BBEAR_00000022,PB.2.22
BBEAR_00000057,PB.2.23
BBEAR_00000058,PB.2.24
BBEAR_00000023,PB.2.25
BBEAR_00000059,PB.2.26
BBEAR_00000024,PB.2.27
BBEAR_00000025,PB.2.28
BBEAR_00000026,PB.2.29
BBEAR_00000060,PB.2.30
BBEAR_00000061,PB.2.31
BBEAR_00000062,PB.2.32
BBEAR_00000063,PB.2.33
BBEAR_00000064,PB.2.34
BBEAR_00000027,PB.2.35
BBEAR_00000065,PB.2.36
BBEAR_00000028,PB.2.37
BBEAR_00000029,PB.3.1
BBEAR_00000030,PB.4.1
BBEAR_00000031,PB.5.1
BBEAR_00000032,PB.6.1
BBEAR_00000033,PB.6.2
BBEAR_00000034,PB.7.1
BBEAR_00000066,PB.7.2
BBEAR_00000067,PB.7.3
BBEAR_00000068,PB.7.4
BBEAR_00000069,PB.7.5
BBEAR_00000070,PB.7.6
BBEAR_00000035,PB.7.7
BBEAR_00000036,PB.8.1
BBEAR_00000037,PB.9.1
BBEAR_00000071,PB.10.1
BBEAR_00000072,PB.11.1
BBEAR_00001911,PB.11.2
BBEAR_00001912,PB.11.3
BBEAR_00000073,PB.11.4
BBEAR_00000074,PB.12.1
BBEAR_00000075,PB.13.1
BBEAR_00000076,PB.14.1
BBEAR_00000077,PB.14.2
BBEAR_00000078,PB.14.3
BBEAR_00001913,PB.14.4
BBEAR_00001914,PB.14.5
BBEAR_00001915,PB.14.6
BBEAR_00001916,PB.14.7
BBEAR_00001917,PB.14.8
BBEAR_00001918,PB.14.9
BBEAR_00001919,PB.14.10
BBEAR_00001920,PB.14.11
BBEAR_00001921,PB.14.12
BBEAR_00000079,PB.15.1
BBEAR_00001922,PB.15.2
BBEAR_00001923,PB.15.3
BBEAR_00000080,PB.16.1
BBEAR_00000082,PB.17.1
BBEAR_00000081,PB.17.2
BBEAR_00001926,PB.17.3
BBEAR_00001925,PB.17.4
BBEAR_00001924,PB.17.5
BBEAR_00000083,PB.18.1
BBEAR_00000084,PB.19.1
BBEAR_00001927,PB.19.2
BBEAR_00001928,PB.19.3
BBEAR_00001929,PB.19.4
BBEAR_00001930,PB.19.5
BBEAR_00001931,PB.19.6
BBEAR_00000086,PB.19.7
BBEAR_00000085,PB.19.8
BBEAR_00000088,PB.19.9
BBEAR_00000087,PB.19.10
BBEAR_00000089,PB.19.11
BBEAR_00000090,PB.20.1
BBEAR_00000091,PB.20.2
BBEAR_00000092,PB.21.1
BBEAR_00000093,PB.22.1
BBEAR_00001932,PB.23.1
BBEAR_00001933,PB.23.2
BBEAR_00001935,PB.23.3
BBEAR_00001934,PB.23.4
BBEAR_00001936,PB.23.5
BBEAR_00000094,PB.23.6
BBEAR_00001937,PB.23.7
BBEAR_00001938,PB.23.8
BBEAR_00000095,PB.24.1
BBEAR_00000097,PB.25.1
BBEAR_00000096,PB.25.2
BBEAR_00001939,PB.25.3
BBEAR_00001940,PB.25.4
BBEAR_00001941,PB.25.5
BBEAR_00001942,PB.25.6
BBEAR_00000098,PB.26.1
BBEAR_00001943,PB.26.2
BBEAR_00001944,PB.26.3
BBEAR_00001945,PB.26.4
BBEAR_00001946,PB.26.5
BBEAR_00001947,PB.26.6
BBEAR_00001948,PB.26.7
BBEAR_00001949,PB.26.8
BBEAR_00001950,PB.26.9
BBEAR_00001951,PB.27.1
BBEAR_00001952,PB.27.2
BBEAR_00001954,PB.27.3
BBEAR_00001953,PB.27.4
BBEAR_00001955,PB.27.5
BBEAR_00001956,PB.27.6
BBEAR_00001957,PB.27.7
BBEAR_00000099,PB.27.8
BBEAR_00001958,PB.27.9
BBEAR_00000100,PB.28.1
BBEAR_00001960,PB.28.2
BBEAR_00001959,PB.28.3
BBEAR_00000101,PB.28.4
BBEAR_00001961,PB.28.5
BBEAR_00000102,PB.29.1
BBEAR_00000103,PB.30.1
BBEAR_00000104,PB.31.1
BBEAR_00000105,PB.32.1
BBEAR_00000106,PB.33.1
BBEAR_00000109,PB.33.2
BBEAR_00000108,PB.33.3
BBEAR_00000107,PB.33.4
BBEAR_00000111,PB.33.5
BBEAR_00000110,PB.33.6
BBEAR_00000113,PB.33.7
BBEAR_00000112,PB.33.8
BBEAR_00000114,PB.34.1
BBEAR_00000115,PB.35.1
BBEAR_00000116,PB.35.2
